fills,effects,font,count
GRADIENT_LINEAR(#C99FFF>#BE85FF>#962AFF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,5
GRADIENT_LINEAR(#5FDF43>#08BF68)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,5
GRADIENT_LINEAR(#FF6201>#FDBD19>#FCE724)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,5
GRADIENT_LINEAR(#FF01BB>#FF5DDE>#FFA4F9)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,5
GRADIENT_LINEAR(#FCE724>#FDBD19>#FF6201)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,5
GRADIENT_LINEAR(#F4805D@0.4>#FFD8BB@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,5
#F414CA,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,5
#FFFFFF,LAYER_BLUR r0.23,,5
IMAGE:9702f640cef7ad066551e86ea1e73774d93ffde0,,,4
#153C88,,Bai Jamjuree 600 32.0,4
#FFFFFF,,Bai Jamjuree 600 28.0,4
GRADIENT_LINEAR(#212121>#3C3C3C),,,4
IMAGE:2f395dcde7ebde35f1485fc9b0aba98d985fbb5d,,,4
#FFFFFF,,Bai Jamjuree 600 40.0,4
GRADIENT_LINEAR(#C8ECFF>#FFFFFF),,,4
IMAGE:cb56e50e04c3d3747d6def06c253a19546ebd829 | #000000~0.4,,,4
#0095FF,,Bai Jamjuree 600 48.0,4
#D2D5DB,,Bai Jamjuree 600 24.0,4
IMAGE:59aa11463b6b0d9e5120f17e08a58b4dea4f90d5,,,4
#FFFFFF~0.2,BACKGROUND_BLUR r11.9,,4
IMAGE:ea8dc03d4554fb7c77ff7faa111a4d2dfa72f82a,,,4
#0095FF,,Bai Jamjuree 600 32.0,4
GRADIENT_LINEAR(#51D6FF@0.5>#FFFFFF@0.5>#216BEB@0.5),"DROP_SHADOW r17.9 o-4.0,4.0 s6.0 #000000@0.2",,4
#FFFFFF,"DROP_SHADOW r17.9 o-4.0,4.0 s6.0 #000000@0.2",,4
GRADIENT_LINEAR(#FAFBFF>#EFF1FE),,,4
#056BF1,,Instrument Sans 600 24.0,4
#61AFEF~0.4,,,4
#131927,,Inter 500 12.0,4
IMAGE:ad67a8135ce0349785f54791fbce6c14be2170ee,,,4
#E7F5FF,,,4
GRADIENT_LINEAR(#FCE724>#FDBD19>#FF6201)~0.9,"BACKGROUND_BLUR r21.25 | INNER_SHADOW r1.42 o-0.7,-1.4 #FFFFFF@0.3 | INNER_SHADOW r1.42 o0.3,0.7 #FFFFFF@0.5",,4
#FDAB14~0.9,"BACKGROUND_BLUR r21.25 | INNER_SHADOW r1.42 o-0.7,-1.4 #FFFFFF@0.3 | INNER_SHADOW r1.42 o0.3,0.7 #FFFFFF@0.5",,4
GRADIENT_LINEAR(#F4805D@0.3>#FFFFFF@0.4),"GLASS | INNER_SHADOW r1.42 o0.7,1.4 #FFFFFF@0.4",,4
#6D717F,,Inter 400 12.0,4
#3745AF,,Inter 600 12.0,4
#3745AF,,Inter 600 10.0,4
#4E61F6,,Inter 400 14.0,4
#43B75D,,Inter 400 14.0,4
#0095FF,,Inter 400 14.0,4
#FFAA00,,Inter 400 14.0,4
#4E61F6,,Inter 600 10.0,4
#000000,,Poppins 400 7.748828411102295,4
#379FFF,,,4
#000000,,Poppins 400 12.0,4
#D9D9D9 | GRADIENT_LINEAR(#5F5A5A>#A9B0AD>#798170>#C7F2FA>#625B4F>#76786B),,,4
GRADIENT_LINEAR(#C6E7F3>#F5F5F5>#E2E2E2>#7C7C7C),,,4
GRADIENT_LINEAR(#7DEDFF>#67A7F8),,,4
GRADIENT_LINEAR(#FFFFFF@0.0>#737373),LAYER_BLUR r1.3,,4
#FFFFFF,LAYER_BLUR r1.8,,4
GRADIENT_LINEAR(#579AFF>#345C99),,,4
GRADIENT_LINEAR(#7DB3FF>#FFFFFF@0.0)~0.45,LAYER_BLUR r4.0,,4
GRADIENT_LINEAR(#5187E0>#FFFFFF@0.0),LAYER_BLUR r4.0,,4
GRADIENT_LINEAR(#333333>#666666),,,4
GRADIENT_LINEAR(#43A8FE>#4EADFE),,,4
#FFFFFF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,4
GRADIENT_LINEAR(#009CFC>#97F8FF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,4
#00BC73~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,4
GRADIENT_LINEAR(#DAA6FF>#DAA6FF),,,4
#CCCCCC,,,4
#000000~0.6,,Inter 500 100.0,4
#000000~0.6,,,3
#6D717F,,Inter 500 16.0,3
#3057B6,,Bai Jamjuree 600 18.0,3
#FFAA00,,Bai Jamjuree 600 16.0,3
GRADIENT_LINEAR(#74CEFF>#2C8BFF)~0.2,BACKGROUND_BLUR r11.9,,3
IMAGE:6df8c6ba7b1808a9f6cd6d42d00c823dfebde429 | #000000~0.4,,,3
#D2D5DB,,Bai Jamjuree 600 10.0,3
IMAGE:d3c62a65655b3889c7dd727463a41c1043cfcc79,,,3
IMAGE:ba3a56154561a7515ff26cc3600d9cfefa6f26a1,,,3
IMAGE:de56a0ff04c2a5988e834790ae770b26ccfae20c,,,3
IMAGE:76a3dfe699b988e73b3fffda73e38ee925223633,,,3
#FFFFFF,"DROP_SHADOW r13.15 o0.0,6.6 #0F172A@0.051",,3
#1E293B,,Inter 600 12.0,3
#FFFFFF,"DROP_SHADOW r10.42 o0.0,5.2 #0F172A@0.051",,3
#1E293B,,Inter 600 9.508403778076172,3
#FFFFFF,"DROP_SHADOW r5.01 o0.0,2.5 #0F172A@0.051",,3
#1E293B,,Inter 600 4.571921348571777,3
IMAGE:b46bc487f508b0aa21290df5616fa886d4f5f3e0,,,3
#000000,,Instrument Sans 700 36.0,3
#E0EAF7~0.89,,,3
#F5F6F8,,,3
#4A4C50,,Instrument Sans 500 15.0,3
#FFFFFF,"DROP_SHADOW r12.0 o0.0,6.0 #0F172A@0.051",,3
#1E293B,,Instrument Sans 600 11.0,3
#1C2026,,Inter 700 100.0,3
#131927,,Inter 400 10.0,3
#F16965,,,3
#FFFFFF,GLASS,,3
#E5E7EA,"DROP_SHADOW r0.0 o0.0,0.0 s3.0 #AEB6FB",,3
#9EA2AE,,Inter 600 18.0,3
#9EA2AE,,Inter 600 12.0,3
#9EA2AE,,Inter 600 10.0,3
GRADIENT_LINEAR(#B0D7F7>#F8F8F8),,,3
#000000,,Poppins 400 9.040299415588379,3
#000000,,Poppins 400 14.0,3
IMAGE:2e81ea14400cf93a580354040e5180db7755662f,,,3
IMAGE:995a734b6b9c88c3372d92633bb533d9d2e1aaf8,,,3
IMAGE:a8e7570e6842a39ea450b6e9dde3181a5784314d,,,3
GRADIENT_LINEAR(#22D1EE>#3D5AF1),,,3
GRADIENT_LINEAR(#22D1EE>#3D5AF1),LAYER_BLUR r29.0,,3
GRADIENT_LINEAR(#22D1EE>#3D5AF1),LAYER_BLUR r63.0,,3
GRADIENT_LINEAR(#A44BFF>#C29CFF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,3
GRADIENT_LINEAR(#97F8FF>#69DCFE>#009CFC)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,3
GRADIENT_LINEAR(#F4805D@0.4>#FFCFAE@0.2),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,3
GRADIENT_LINEAR(#FFBE02@0.4>#FFFFFF@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,3
