page,node_id,path,characters,font_family,font_weight,font_size,color
🔵 UI_Phase 1,I3139:10490;64:1264,Contact/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập số điện thoại của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:10490;64:1267,Contact/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:10491;64:1260,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Tên doanh nghiệp,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:10491;2448:6770,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:10491;64:1264,Contact/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập tên doanh nghiệp,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:10491;64:1267,Contact/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:10492;64:1260,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Website doanh nghiệp,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:10492;2448:6770,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:10492;64:1264,Contact/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập website của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:10492;64:1267,Contact/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:10493;64:1260,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Nhu cầu của bạn,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:10493;2448:6770,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:10493;64:1264,Contact/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập nội dung muốn yêu cầu,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:10493;64:1267,Contact/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:10467;80:1530,Contact/Contact/Submit Container/Checkbox + Text/Placeholder,"Tôi đồng ý nhận thông tin về sản phẩm, dịch vụ và các cơ hội hợp tác từ chúng tôi.",Inter,400,14.0,#131927
🔵 UI_Phase 1,I3139:10468;34:1258,Contact/Contact/Submit Container/Button/Text/Button,Gửi,Inter,600,14.0,#FFFFFF
